timestamp,window_id,slug,reason,entry_mode,entry_side,llm_side,llm_confidence,llm_strength,llm_reason,current_atr,up_ask,down_ask,budget_multiplier,cheaper_side_ratio,total_budget,buy_up_usd,buy_up_shares,buy_down_usd,buy_down_shares
1780575482842,1,btc-updown-5m-1780575600,d1_one_leg_down_ask_0.50_fair_0.500_edge_+0.000_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.020_discount_req_0.035_combined_1.02_atr_100.79_atr_regime_storm_budget_mult_0.10,one_side,DOWN,DOWN,0.6500,medium,Negative raw and smoothed velocity indicate strong downward momentum leading into the window open.,100.7929,0.5200,0.5000,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.00000000
1780575782963,2,btc-updown-5m-1780575900,d1_one_leg_up_ask_0.51_fair_0.500_edge_-0.010_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.000_discount_req_0.035_combined_1.02_atr_100.79_atr_regime_storm_budget_mult_0.10,one_side,UP,UP,0.6500,medium,Strong positive raw and smoothed velocity indicates upward momentum leading into the window open despite slight deceleration.,100.7929,0.5100,0.5100,0.1000,0.5000,3.0000,3.0000,5.88235294,0.0000,0.00000000
1780576083251,3,btc-updown-5m-1780576200,d1_one_leg_up_ask_0.51_fair_0.500_edge_-0.010_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.000_discount_req_0.035_combined_1.02_atr_100.79_atr_regime_storm_budget_mult_0.10,one_side,UP,UP,0.6200,medium,"Positive raw and smoothed velocity indicate upward momentum leading into the window open, reversing the previous failed DOWN bias.",100.7929,0.5100,0.5100,0.1000,0.5000,3.0000,3.0000,5.88235294,0.0000,0.00000000
1780576383807,4,btc-updown-5m-1780576500,d1_one_leg_up_ask_0.50_fair_0.500_edge_+0.000_source_momentum_no_ptb_conf_3_ptb_known_false_discount_0.010_discount_req_0.035_combined_1.01_atr_160.01_atr_regime_storm_budget_mult_0.10,one_side,UP,UP,0.6500,medium,Strong positive velocity and acceleration indicate robust upward momentum leading into the window open.,170.8214,0.5000,0.5100,0.1000,0.5000,3.0000,3.0000,6.00000000,0.0000,0.00000000
1780576707957,5,btc-updown-5m-1780576800,d1_one_leg_up_ask_0.49_fair_0.500_edge_+0.010_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.040_discount_req_0.035_combined_1.02_atr_172.54_atr_regime_storm_budget_mult_0.10,one_side,UP,DOWN,0.6500,medium,Strong negative smoothed velocity and negative acceleration indicate continued short-term downward momentum leading into the window open.,172.5429,0.4900,0.5300,0.1000,0.5000,3.0000,3.0000,6.12244898,0.0000,0.00000000
1780576983019,6,btc-updown-5m-1780577100,d1_one_leg_down_ask_0.52_fair_0.610_edge_+0.090_source_llm_prior_conf_0.72_strength_medium_conf_0_ptb_known_false_discount_-0.020_discount_req_0.035_combined_1.02_atr_148.85_atr_regime_storm_budget_mult_0.10,one_side,DOWN,DOWN,0.7200,medium,Strong negative velocity and acceleration indicate persistent downward momentum leading into the window open.,146.4429,0.5000,0.5200,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,5.76923077
1780577282950,7,btc-updown-5m-1780577400,d1_one_leg_down_ask_0.50_fair_0.500_edge_+0.000_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.020_discount_req_0.035_combined_1.02_atr_128.01_atr_regime_storm_budget_mult_0.10,one_side,DOWN,DOWN,0.6500,medium,Negative raw velocity and acceleration indicate downward momentum leading into the window open.,118.5857,0.5200,0.5000,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.00000000
1780577583186,8,btc-updown-5m-1780577700,d1_one_leg_up_ask_0.49_fair_0.500_edge_+0.010_source_momentum_no_ptb_conf_3_ptb_known_false_discount_0.040_discount_req_0.035_combined_1.02_atr_126.11_atr_regime_storm_budget_mult_0.10,one_side,UP,UP,0.6500,medium,Positive and accelerating momentum indicators suggest upward continuation into the window open.,125.4000,0.4900,0.5300,0.1000,0.5000,3.0000,3.0000,6.12244898,0.0000,0.00000000
1780577884960,9,btc-updown-5m-1780578000,d1_one_leg_up_ask_0.51_fair_0.500_edge_-0.010_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.000_discount_req_0.035_combined_1.02_atr_123.49_atr_regime_storm_budget_mult_0.10,one_side,UP,UP,0.5500,weak,"Raw velocity and acceleration have turned positive, suggesting a potential short-term upward reversal despite negative smoothed velocity.",123.4857,0.5100,0.5100,0.1000,0.5000,3.0000,3.0000,5.88235294,0.0000,0.00000000
1780578182405,10,btc-updown-5m-1780578300,d1_one_leg_down_ask_0.51_fair_0.500_edge_-0.010_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.000_discount_req_0.035_combined_1.02_atr_116.06_atr_regime_storm_budget_mult_0.10,one_side,DOWN,DOWN,0.6500,medium,Strong negative raw and smoothed velocity indicate downward momentum leading into the window open.,101.1071,0.5100,0.5100,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,5.88235294
