timestamp,window_id,slug,status,llm_side,llm_confidence,llm_strength,llm_reason,llm_risk,key_drivers,result_winner,result_correct,current_atr,secs_to_start,spot_price,spot_velocity_usd_per_sec,spot_smoothed_velocity_usd_per_sec,spot_acceleration_usd_per_sec2,up_bid,up_ask,down_bid,down_ask
1780576081888,1,btc-updown-15m-1780576200,ok,UP,0.6200,medium,"Positive raw and smoothed velocity indicate upward momentum leading into the window open, while the UP contract is priced attractively below parity at 0.47.",Slightly negative acceleration suggests the upward momentum could be slowing down before the window starts.,Positive raw velocity of +3.22 USD/sec | Smoothed velocity remains supportive at +2.25 USD/sec | UP contract ask is currently underpriced at 0.47 relative to momentum,,,100.7929,120,63164.5047,3.221832,2.256484,-0.195669,0.4600,0.4700,0.5400,0.5500
1780576982542,2,btc-updown-15m-1780577100,ok,DOWN,0.6800,medium,Strong negative velocity and acceleration indicate sustained downward momentum leading into the window open.,High ATR of 148.85 USD on the 1-minute scale could lead to rapid mean reversion or whipsaw action.,Negative smoothed velocity of -1.12 USD/sec | Negative acceleration of -0.02 USD/sec2 | Down contract pricing shows slight market bias towards DOWN at 0.53 ask,,,148.8500,120,63520.5267,-1.031530,-1.118708,-0.023778,0.4800,0.5000,0.5200,0.5300
1780577099281,1,btc-updown-15m-1780576200,result,UP,0.6200,medium,"Positive raw and smoothed velocity indicate upward momentum leading into the window open, while the UP contract is priced attractively below parity at 0.47.",Slightly negative acceleration suggests the upward momentum could be slowing down before the window starts.,Positive raw velocity of +3.22 USD/sec | Smoothed velocity remains supportive at +2.25 USD/sec | UP contract ask is currently underpriced at 0.47 relative to momentum,UP,true,145.3786,0,63514.7105,-2.051785,-1.922809,-0.429671,0.9900,1.0000,0.0100,0.0100
1780577881889,3,btc-updown-15m-1780578000,ok,UP,0.5500,weak,"Positive raw velocity and acceleration suggest a potential upward reversal, making the cheaper UP contract attractive near parity.","Smoothed velocity remains slightly negative, indicating overhead resistance.",Positive acceleration of 0.042 USD/sec2 | UP contract is priced cheaper at 0.45 ask | Recent window context showed an UP winner,,,124.7071,120,63634.4471,0.105618,-0.086565,0.042042,0.4400,0.4500,0.5600,0.5700
1780577999284,2,btc-updown-15m-1780577100,result,DOWN,0.6800,medium,Strong negative velocity and acceleration indicate sustained downward momentum leading into the window open.,High ATR of 148.85 USD on the 1-minute scale could lead to rapid mean reversion or whipsaw action.,Negative smoothed velocity of -1.12 USD/sec | Negative acceleration of -0.02 USD/sec2 | Down contract pricing shows slight market bias towards DOWN at 0.53 ask,UP,false,120.6857,0,63701.4174,0.218499,0.226922,-0.024866,0.9900,1.0000,0.0100,0.0100
1780578782834,4,btc-updown-15m-1780578900,ok,DOWN,0.6500,medium,Strong negative velocity and acceleration indicate persistent downward momentum leading into the window open.,A sudden mean-reversion bounce near the window open could invalidate the short-term downward momentum.,Negative raw velocity of -0.37 USD/sec | Strong negative acceleration of -0.91 USD/sec2 | DOWN contract priced at 0.55 reflecting market agreement on downward bias,,,110.4143,120,63627.9481,-0.368424,-0.253791,-0.914970,0.4600,0.4700,0.5400,0.5500
1780578899286,3,btc-updown-15m-1780578000,result,UP,0.5500,weak,"Positive raw velocity and acceleration suggest a potential upward reversal, making the cheaper UP contract attractive near parity.","Smoothed velocity remains slightly negative, indicating overhead resistance.",Positive acceleration of 0.042 USD/sec2 | UP contract is priced cheaper at 0.45 ask | Recent window context showed an UP winner,DOWN,false,111.3571,0,63525.7853,-2.570230,-2.193495,-0.068890,0.0100,0.0100,0.9900,1.0000
1780579682538,5,btc-updown-15m-1780579800,ok,DOWN,0.6200,medium,Negative raw and smoothed velocity indicate strong downward momentum leading into the window open.,Slightly positive acceleration could signal a potential near-term trend reversal or stabilization.,Negative raw velocity of -2.41 USD/sec | Negative smoothed velocity of -1.61 USD/sec | Down contract is currently priced attractively near parity at 0.49,,,117.4786,120,63149.8323,-2.413405,-1.607937,0.059595,0.5200,0.5300,0.4800,0.4900
1780579799290,4,btc-updown-15m-1780578900,result,DOWN,0.6500,medium,Strong negative velocity and acceleration indicate persistent downward momentum leading into the window open.,A sudden mean-reversion bounce near the window open could invalidate the short-term downward momentum.,Negative raw velocity of -0.37 USD/sec | Strong negative acceleration of -0.91 USD/sec2 | DOWN contract priced at 0.55 reflecting market agreement on downward bias,DOWN,true,117.1714,0,63162.5199,-0.645142,-0.250649,0.921532,0.0100,0.0200,0.9900,1.0000
1780580582817,6,btc-updown-15m-1780580700,ok,DOWN,0.6500,medium,Strong negative velocity and smoothed velocity indicate persistent short-term downward momentum leading into the window open.,Slightly positive acceleration suggests the downward move may be decelerating or stabilizing near the open.,Negative raw velocity of -4.26 USD/sec | Negative smoothed velocity of -3.57 USD/sec | Recent window context showing historical accuracy of 66.7% supporting directional alignment,,,196.0286,120,63807.8859,-4.255666,-3.573094,0.042720,0.4900,0.5000,0.5100,0.5200
1780580699290,5,btc-updown-15m-1780579800,result,DOWN,0.6200,medium,Negative raw and smoothed velocity indicate strong downward momentum leading into the window open.,Slightly positive acceleration could signal a potential near-term trend reversal or stabilization.,Negative raw velocity of -2.41 USD/sec | Negative smoothed velocity of -1.61 USD/sec | Down contract is currently priced attractively near parity at 0.49,UP,false,211.3571,0,63746.4956,0.436286,1.332897,1.569382,0.9990,1.0080,0.0010,0.0110
1780581482633,7,btc-updown-15m-1780581600,ok,UP,0.6500,medium,"Strong positive velocity indicates upward momentum leading into the window open, with the UP contract currently priced attractively below parity at 0.47.",Slight negative acceleration suggests the upward momentum could be slowing down near the window open.,Positive smoothed velocity of 2.20 USD/sec | UP contract ask is at a favorable 0.47 entry price | Historical LLM accuracy remains solid at 66.7%,,,145.1214,120,63977.4696,2.258862,2.199061,-0.060692,0.4600,0.4700,0.5400,0.5500
1780581599293,6,btc-updown-15m-1780580700,result,DOWN,0.6500,medium,Strong negative velocity and smoothed velocity indicate persistent short-term downward momentum leading into the window open.,Slightly positive acceleration suggests the downward move may be decelerating or stabilizing near the open.,Negative raw velocity of -4.26 USD/sec | Negative smoothed velocity of -3.57 USD/sec | Recent window context showing historical accuracy of 66.7% supporting directional alignment,UP,false,148.3214,0,64138.5517,1.555024,1.570227,0.238208,0.9900,1.0000,0.0100,0.0100
1780582382298,8,btc-updown-15m-1780582500,ok,UP,0.6500,medium,"Positive smoothed velocity and acceleration indicate upward momentum, while the UP contract is currently priced at a favorable discount near parity.","Recent LLM accuracy is moderate at 50%, and short-term reversals could challenge the momentum.","Positive smoothed velocity of 1.19 USD/sec | Positive acceleration of 0.21 USD/sec2 | UP contract ask is at 0.45, offering a favorable entry price below parity",,,152.9714,120,64431.5142,0.625553,1.186207,0.208470,0.4400,0.4500,0.5600,0.5700
1780582499293,7,btc-updown-15m-1780581600,result,UP,0.6500,medium,"Strong positive velocity indicates upward momentum leading into the window open, with the UP contract currently priced attractively below parity at 0.47.",Slight negative acceleration suggests the upward momentum could be slowing down near the window open.,Positive smoothed velocity of 2.20 USD/sec | UP contract ask is at a favorable 0.47 entry price | Historical LLM accuracy remains solid at 66.7%,UP,true,151.5286,0,64319.2292,-0.249098,-0.348312,0.264836,0.9900,1.0000,0.0100,0.0100
1780583282685,9,btc-updown-15m-1780583400,ok,DOWN,0.6000,medium,Negative raw velocity and strong negative acceleration indicate a short-term downward momentum shift leading into the window open.,"Smoothed velocity remains slightly positive, indicating potential for a whipsaw if the macro trend holds.",Negative raw velocity of -0.74 USD/sec | Strong negative acceleration of -0.84 USD/sec2 | Downside contract pricing (DOWN ask at 0.53) reflecting slight market bias towards DOWN,,,108.1643,120,64085.3468,-0.740139,0.086032,-0.839580,0.4800,0.4900,0.5200,0.5300
1780583399294,8,btc-updown-15m-1780582500,result,UP,0.6500,medium,"Positive smoothed velocity and acceleration indicate upward momentum, while the UP contract is currently priced at a favorable discount near parity.","Recent LLM accuracy is moderate at 50%, and short-term reversals could challenge the momentum.","Positive smoothed velocity of 1.19 USD/sec | Positive acceleration of 0.21 USD/sec2 | UP contract ask is at 0.45, offering a favorable entry price below parity",DOWN,false,103.8857,0,64089.7221,2.406200,1.265290,-0.010374,0.0020,0.0010,0.9990,1.0090
1780584182720,10,btc-updown-15m-1780584300,ok,UP,0.5500,medium,Positive raw velocity and positive acceleration suggest a short-term upward reversal from the negative smoothed velocity trend.,High ATR of 95.41 USD on the 1m interval could lead to rapid whipsaws before the window opens.,Positive raw velocity of 0.1078 USD/sec | Positive acceleration of 0.0807 USD/sec2 indicating deceleration of downward momentum | UP ask is near parity at 0.5200,,,95.4143,120,63921.6297,0.107840,-0.286520,0.080690,0.5100,0.5200,0.4900,0.5000
1780584299298,9,btc-updown-15m-1780583400,result,DOWN,0.6000,medium,Negative raw velocity and strong negative acceleration indicate a short-term downward momentum shift leading into the window open.,"Smoothed velocity remains slightly positive, indicating potential for a whipsaw if the macro trend holds.",Negative raw velocity of -0.74 USD/sec | Strong negative acceleration of -0.84 USD/sec2 | Downside contract pricing (DOWN ask at 0.53) reflecting slight market bias towards DOWN,DOWN,true,93.5571,0,63922.2253,-1.237672,-1.048637,-0.204440,0.0100,0.0200,0.9900,1.0000
1780585082567,11,btc-updown-15m-1780585200,ok,UP,0.6200,medium,"Positive raw and smoothed velocity indicate upward momentum heading into the window open, despite slight deceleration.","Negative acceleration suggests the upward momentum is slowing down, which could lead to a flat or reversing trend.",Positive raw velocity of 0.73 USD/sec | Smoothed velocity remains positive at 0.31 USD/sec | UP contract is priced near parity at 0.52 ask,,,95.7786,120,63888.2432,0.728776,0.308619,-0.422145,0.5100,0.5200,0.4900,0.5000
1780585199298,10,btc-updown-15m-1780584300,result,UP,0.5500,medium,Positive raw velocity and positive acceleration suggest a short-term upward reversal from the negative smoothed velocity trend.,High ATR of 95.41 USD on the 1m interval could lead to rapid whipsaws before the window opens.,Positive raw velocity of 0.1078 USD/sec | Positive acceleration of 0.0807 USD/sec2 indicating deceleration of downward momentum | UP ask is near parity at 0.5200,DOWN,false,100.9000,0,63893.7770,-0.174319,0.181413,-0.190224,0.0100,0.0100,0.9900,1.0000
1780585982496,12,btc-updown-15m-1780586100,ok,UP,0.5500,weak,"Positive raw and smoothed velocity indicate short-term upward momentum, though negative acceleration suggests the move may be slowing.",Negative acceleration could lead to a momentum reversal or flat trading near the window open.,Positive raw velocity of 1.75 USD/sec | Positive smoothed velocity indicating a short-term upward trend | Decelerating momentum as shown by negative acceleration,,,119.3000,120,64260.9521,1.745150,0.053074,-0.303413,0.5000,0.5100,0.5000,0.5100
1780586099337,11,btc-updown-15m-1780585200,result,UP,0.6200,medium,"Positive raw and smoothed velocity indicate upward momentum heading into the window open, despite slight deceleration.","Negative acceleration suggests the upward momentum is slowing down, which could lead to a flat or reversing trend.",Positive raw velocity of 0.73 USD/sec | Smoothed velocity remains positive at 0.31 USD/sec | UP contract is priced near parity at 0.52 ask,UP,true,128.1857,0,64299.3430,1.984448,1.684187,-0.006808,0.9900,1.0000,0.0100,0.0100
