timestamp,window_id,slug,status,llm_side,llm_confidence,llm_strength,llm_reason,llm_risk,key_drivers,result_winner,result_correct,current_atr,secs_to_start,spot_price,spot_velocity_usd_per_sec,spot_smoothed_velocity_usd_per_sec,spot_acceleration_usd_per_sec2,up_bid,up_ask,down_bid,down_ask
1780560498162,1,btc-updown-5m-1780560600,ok,UP,0.1000,weak,"Due to missing spot and velocity data, a default low-confidence UP bias is selected based on historical baseline drift.",Trading without active spot and momentum indicators carries extreme directional risk.,Lack of real-time spot price data | No velocity or acceleration metrics available | High 1m ATR of 93.76 indicates potential for high volatility at open,,,93.7571,104,,,,,0.0000,0.0000,0.0000,0.0000
1780560782321,2,btc-updown-5m-1780560900,ok,UP,0.5800,medium,Positive smoothed velocity and positive acceleration suggest an upward momentum shift despite a minor short-term raw dip.,The negative raw velocity indicates short-term selling pressure that could persist into the window open.,Positive smoothed velocity of 0.115 USD/sec | Positive acceleration of 0.032 USD/sec² indicating building upward momentum | UP contract ask is near parity at 0.52,,,93.7571,120,63344.9022,-0.233975,0.115124,0.032495,0.5100,0.5200,0.4900,0.5000
1780560899312,1,btc-updown-5m-1780560600,result,UP,0.1000,weak,"Due to missing spot and velocity data, a default low-confidence UP bias is selected based on historical baseline drift.",Trading without active spot and momentum indicators carries extreme directional risk.,Lack of real-time spot price data | No velocity or acceleration metrics available | High 1m ATR of 93.76 indicates potential for high volatility at open,DOWN,false,93.7571,0,63313.1284,-0.568678,-0.489028,-0.171696,0.0100,0.0100,0.9900,1.0000
1780561082340,3,btc-updown-5m-1780561200,ok,UP,0.6500,medium,Positive velocity and acceleration indicate upward momentum leading into the window open.,Short-term mean reversion or sudden volatility spikes could reverse the trend before the window closes.,Positive raw velocity of 2.57 USD/sec | Smoothed velocity of 2.91 USD/sec | Positive acceleration of 0.69 USD/sec^2,,,93.7571,120,63321.1578,2.573554,2.911602,0.694616,0.5000,0.5100,0.4900,0.5000
1780561199313,2,btc-updown-5m-1780560900,result,UP,0.5800,medium,Positive smoothed velocity and positive acceleration suggest an upward momentum shift despite a minor short-term raw dip.,The negative raw velocity indicates short-term selling pressure that could persist into the window open.,Positive smoothed velocity of 0.115 USD/sec | Positive acceleration of 0.032 USD/sec² indicating building upward momentum | UP contract ask is near parity at 0.52,UP,true,93.7571,0,63466.8222,2.385464,1.183711,-0.101866,0.9900,1.0000,0.0100,0.0100
1780561383100,4,btc-updown-5m-1780561500,ok,UP,0.5500,medium,Positive smoothed velocity suggests underlying upward momentum despite a minor short-term raw velocity pullback and negative acceleration.,Negative acceleration and negative raw velocity indicate short-term downward pressure that could persist into the window open.,Strong positive smoothed velocity of 1.04 USD/sec | UP contract ask is near parity at 0.52 | Short-term raw velocity pullback provides a potential entry discount before the window opens,,,93.7571,120,63297.7580,-0.506276,1.043908,-0.173971,0.5100,0.5200,0.4900,0.5000
1780561499314,3,btc-updown-5m-1780561200,result,UP,0.6500,medium,Positive velocity and acceleration indicate upward momentum leading into the window open.,Short-term mean reversion or sudden volatility spikes could reverse the trend before the window closes.,Positive raw velocity of 2.57 USD/sec | Smoothed velocity of 2.91 USD/sec | Positive acceleration of 0.69 USD/sec^2,UP,true,125.3214,0,63491.0777,5.215518,1.823866,0.041714,0.9900,1.0000,0.0100,0.0200
1780561681780,5,btc-updown-5m-1780561800,ok,DOWN,0.6500,medium,Negative velocity and accelerating downward momentum suggest a high probability of a downward move leading into the window open.,A sudden trend reversal or mean reversion near the window open could invalidate the short-term downward momentum.,Negative raw velocity of -0.56 USD/sec | Negative smoothed velocity of -0.73 USD/sec | Negative acceleration of -0.50 USD/sec² indicating increasing downward pressure,,,130.6357,120,63388.7643,-0.561852,-0.730338,-0.503879,0.5000,0.5100,0.5000,0.5100
1780561799313,4,btc-updown-5m-1780561500,result,UP,0.5500,medium,Positive smoothed velocity suggests underlying upward momentum despite a minor short-term raw velocity pullback and negative acceleration.,Negative acceleration and negative raw velocity indicate short-term downward pressure that could persist into the window open.,Strong positive smoothed velocity of 1.04 USD/sec | UP contract ask is near parity at 0.52 | Short-term raw velocity pullback provides a potential entry discount before the window opens,DOWN,false,130.0857,0,63411.7231,-1.425061,-1.945069,0.254552,0.0010,0.0110,0.9990,1.0090
1780561982439,6,btc-updown-5m-1780562100,ok,DOWN,0.6500,medium,Negative smoothed velocity and negative acceleration indicate persistent downward momentum leading into the window open.,A sudden mean-reversion bounce near the window open could invalidate the short-term downward momentum.,Smoothed velocity of -1.65 USD/sec shows established downward trend | Negative acceleration of -0.09 USD/sec2 suggests the downward move is still sustaining momentum | Raw velocity remains negative at -0.29 USD/sec,,,136.4500,120,63395.9084,-0.292740,-1.647033,-0.087204,0.5000,0.5100,0.5000,0.5100
1780562099315,5,btc-updown-5m-1780561800,result,DOWN,0.6500,medium,Negative velocity and accelerating downward momentum suggest a high probability of a downward move leading into the window open.,A sudden trend reversal or mean reversion near the window open could invalidate the short-term downward momentum.,Negative raw velocity of -0.56 USD/sec | Negative smoothed velocity of -0.73 USD/sec | Negative acceleration of -0.50 USD/sec² indicating increasing downward pressure,UP,false,127.8000,0,63424.3796,2.599662,1.626879,-0.014010,0.9900,1.0000,0.0100,0.0100
1780562282102,7,btc-updown-5m-1780562400,ok,DOWN,0.5500,weak,"Negative raw and smoothed velocities indicate short-term downward momentum, despite positive acceleration suggesting a potential deceleration of the drop.",Positive acceleration could lead to a trend reversal or bounce before the window lock time.,Negative smoothed velocity of -0.46 USD/sec | Short-term downward trend leading into the window open | Positive acceleration of 0.26 USD/sec2 indicates the downward move is losing some steam,,,115.4214,120,63476.8987,-0.469967,-0.458486,0.262205,0.5000,0.5100,0.5000,0.5100
